ID,date,milligrams
38,2023/04/03,3326.5
42,2023/04/03,4320.3
43,2023/04/03,4341.8
54,2023/04/03,3510.5
55,2023/04/03,4876.0
56,2023/04/03,2582.6
57,2023/04/03,2832.0
60,2023/04/03,3320.4
61,2023/04/03,4241.2
62,2023/04/03,3375.0
63,2023/04/03,4876.8
90,2023/04/03,3968.7
94,2023/04/03,4371.6
95,2023/04/03,2715.9
97,2023/04/03,4887.4
99,2023/04/03,4132.6
106,2023/04/03,3904.9
114,2023/04/03,3225.4
115,2023/04/03,4205.2
1,2023/04/04,2251.5
3,2023/04/04,4555.5
5,2023/04/04,4184.1
9,2023/04/04,2687.3
21,2023/04/04,4504.9
23,2023/04/04,3500.9
26,2023/04/04,1580.1
29,2023/04/04,2391.3
35,2023/04/04,4284.9
36,2023/04/04,3705.7
37,2023/04/04,2546.0
38,2023/04/04,3441.4
42,2023/04/04,4705.4
43,2023/04/04,4396.8
54,2023/04/04,3941.4
55,2023/04/04,4520.3
56,2023/04/04,2742.8
57,2023/04/04,3153.7
60,2023/04/04,3268.3
61,2023/04/04,4297.3
62,2023/04/04,3409.1
63,2023/04/04,4991.7
90,2023/04/04,4107.7
94,2023/04/04,4382.2
95,2023/04/04,2728.4
97,2023/04/04,4966.2
99,2023/04/04,3906.8
106,2023/04/04,4243.8
114,2023/04/04,3557.3
115,2023/04/04,4004.2
3,2023/04/10,4280.3
5,2023/04/10,3755.7
21,2023/04/10,4191.7
23,2023/04/10,3430.7
42,2023/04/10,4025.3
55,2023/04/10,4380.2
57,2023/04/10,2675.1
60,2023/04/10,3144.0
63,2023/04/10,3920.5
95,2023/04/10,2444.6
99,2023/04/10,3469.2
106,2023/04/10,3554.8
114,2023/04/10,2851.8
115,2023/04/10,3654.6
3,2023/04/11,3852.1
5,2023/04/11,4297.6
21,2023/04/11,4213.5
23,2023/04/11,3820.6
42,2023/04/11,4611.1
55,2023/04/11,4416.8
57,2023/04/11,2886.1
60,2023/04/11,3226.0
63,2023/04/11,3903.1
95,2023/04/11,2504.4
99,2023/04/11,3501.9
106,2023/04/11,3466.3
114,2023/04/11,2995.5
115,2023/04/11,3554.6
