,ID,date,obs
705,16,2023-03-06,N
706,17,2023-03-06,N
707,18,2023-03-06,N
708,19,2023-03-06,N
709,20,2023-03-06,N
710,21,2023-03-06,F
711,22,2023-03-06,N
712,23,2023-03-06,N
713,24,2023-03-06,N
714,25,2023-03-06,N
715,26,2023-03-06,N
716,27,2023-03-06,N
717,28,2023-03-06,N
718,29,2023-03-06,N
719,30,2023-03-06,N
720,31,2023-03-06,N
721,32,2023-03-06,N
722,33,2023-03-06,F
723,34,2023-03-06,N
724,35,2023-03-06,N
725,36,2023-03-06,F
726,37,2023-03-06,F
727,38,2023-03-06,N
728,39,2023-03-06,N
729,40,2023-03-06,F
730,41,2023-03-06,N
731,42,2023-03-06,N
732,43,2023-03-06,N
733,44,2023-03-06,N
734,45,2023-03-06,N
735,46,2023-03-06,N
736,47,2023-03-06,N
737,48,2023-03-06,F
738,49,2023-03-06,N
739,50,2023-03-06,N
740,51,2023-03-06,F
741,52,2023-03-06,N
742,53,2023-03-06,N
743,54,2023-03-06,N
744,55,2023-03-06,N
745,56,2023-03-06,N
746,57,2023-03-06,F
747,58,2023-03-06,-
748,59,2023-03-06,
749,60,2023-03-06,
750,61,2023-03-06,
751,62,2023-03-06,
752,63,2023-03-06,
753,64,2023-03-06,
754,65,2023-03-06,
755,66,2023-03-06,
756,67,2023-03-06,
757,68,2023-03-06,
758,69,2023-03-06,
759,70,2023-03-06,ND
760,71,2023-03-06,
761,72,2023-03-06,
762,73,2023-03-06,
763,74,2023-03-06,
764,75,2023-03-06,
765,76,2023-03-06,
766,77,2023-03-06,
767,78,2023-03-06,
768,79,2023-03-06,
769,80,2023-03-06,-
770,81,2023-03-06,-
771,82,2023-03-06,
772,83,2023-03-06,
773,84,2023-03-06,-
774,85,2023-03-06,
775,86,2023-03-06,
776,87,2023-03-06,
777,88,2023-03-06,
778,89,2023-03-06,-
779,90,2023-03-06,
780,91,2023-03-06,-
781,92,2023-03-06,
782,93,2023-03-06,
783,94,2023-03-06,
784,95,2023-03-06,
785,96,2023-03-06,
786,97,2023-03-06,-
787,98,2023-03-06,
788,99,2023-03-06,
789,100,2023-03-06,
790,101,2023-03-06,
791,102,2023-03-06,-
792,103,2023-03-06,
793,104,2023-03-06,-
794,105,2023-03-06,
795,106,2023-03-06,
796,107,2023-03-06,-
797,108,2023-03-06,
798,109,2023-03-06,
799,110,2023-03-06,-
800,111,2023-03-06,
801,112,2023-03-06,
802,113,2023-03-06,
803,114,2023-03-06,
804,115,2023-03-06,
805,1,2023-03-07,N
806,2,2023-03-07,N
807,3,2023-03-07,N
808,4,2023-03-07,N
809,5,2023-03-07,N
810,6,2023-03-07,N
811,7,2023-03-07,N
812,8,2023-03-07,F
813,9,2023-03-07,F
814,10,2023-03-07,N
815,11,2023-03-07,N
816,12,2023-03-07,F
817,13,2023-03-07,N
818,14,2023-03-07,F
819,15,2023-03-07,N
820,16,2023-03-07,N
821,17,2023-03-07,N
822,18,2023-03-07,N
823,19,2023-03-07,F
824,20,2023-03-07,F
825,21,2023-03-07,N
826,22,2023-03-07,N
827,23,2023-03-07,F
828,24,2023-03-07,F
829,25,2023-03-07,N
830,26,2023-03-07,N
831,27,2023-03-07,N
832,28,2023-03-07,N
833,29,2023-03-07,N
834,30,2023-03-07,N
835,31,2023-03-07,N
836,32,2023-03-07,N
837,33,2023-03-07,N
838,34,2023-03-07,N
839,35,2023-03-07,N
840,36,2023-03-07,N
841,37,2023-03-07,F
842,38,2023-03-07,N
843,39,2023-03-07,N
844,40,2023-03-07,N
845,41,2023-03-07,N
846,42,2023-03-07,F
847,43,2023-03-07,N
848,44,2023-03-07,N
849,45,2023-03-07,N
850,46,2023-03-07,N
851,47,2023-03-07,N
852,48,2023-03-07,N
853,49,2023-03-07,N
854,50,2023-03-07,N
855,51,2023-03-07,N
856,52,2023-03-07,N
857,53,2023-03-07,N
858,54,2023-03-07,N
859,55,2023-03-07,F
860,56,2023-03-07,N
861,57,2023-03-07,F
862,58,2023-03-07,F
863,59,2023-03-07,N
864,60,2023-03-07,N
865,61,2023-03-07,N
866,62,2023-03-07,N
867,63,2023-03-07,N
868,64,2023-03-07,N
869,65,2023-03-07,N
870,66,2023-03-07,N
871,67,2023-03-07,N
872,68,2023-03-07,N
873,69,2023-03-07,N
874,70,2023-03-07,-
875,71,2023-03-07,N
876,72,2023-03-07,N
877,73,2023-03-07,N
878,74,2023-03-07,N
879,75,2023-03-07,N
880,76,2023-03-07,N
881,77,2023-03-07,N
882,78,2023-03-07,F
883,79,2023-03-07,N
884,80,2023-03-07,-
885,81,2023-03-07,-
886,82,2023-03-07,F
887,83,2023-03-07,N
888,84,2023-03-07,-
889,85,2023-03-07,F
890,86,2023-03-07,N
891,87,2023-03-07,N
892,88,2023-03-07,N
893,89,2023-03-07,-
894,90,2023-03-07,N
895,91,2023-03-07,-
896,92,2023-03-07,N
897,93,2023-03-07,N
898,94,2023-03-07,N
899,95,2023-03-07,N
900,96,2023-03-07,N
901,97,2023-03-07,-
902,98,2023-03-07,N
903,99,2023-03-07,F
904,100,2023-03-07,N
905,101,2023-03-07,F
906,102,2023-03-07,-
907,103,2023-03-07,N
908,104,2023-03-07,N
909,105,2023-03-07,N
910,106,2023-03-07,N
911,107,2023-03-07,-
912,108,2023-03-07,N
913,109,2023-03-07,N
914,110,2023-03-07,-
915,111,2023-03-07,N
916,112,2023-03-07,N
917,113,2023-03-07,N
918,114,2023-03-07,N
919,115,2023-03-07,N
920,1,2023-03-08,N
921,2,2023-03-08,N
922,3,2023-03-08,N
923,4,2023-03-08,N
924,5,2023-03-08,N
925,6,2023-03-08,N
